speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L1236726,Walthamstow Marshes SSSI,2023-01-01 16:07,4,51.5693585,-0.0509191,TRUE,FALSE,FALSE,S125228855,NA,2023-01-01
eurrob1,European Robin,Erithacus rubecula,L12107221,Tottenham Lock,2023-01-02 16:05,1,51.588096,-0.0565958,TRUE,FALSE,FALSE,S125181917,NA,2023-01-02
eurrob1,European Robin,Erithacus rubecula,L9030101,Camley Street Natural Park,2023-01-03 14:12,1,51.5351266,-0.127511,TRUE,FALSE,FALSE,S125332017,NA,2023-01-03
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2023-01-04 16:11,4,51.594753,-0.140426,TRUE,FALSE,TRUE,S125450612,NA,2023-01-04
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2023-01-05 16:00,2,51.595709,-0.1394567,TRUE,FALSE,TRUE,S125464019,NA,2023-01-05
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2023-01-06 16:15,5,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S125540520,NA,2023-01-06
eurrob1,European Robin,Erithacus rubecula,L11504293,Little Woodcote,2023-01-07 16:02,1,51.3387237,-0.1565787,TRUE,FALSE,FALSE,S125608345,NA,2023-01-07
eurrob1,European Robin,Erithacus rubecula,L11504293,Little Woodcote,2023-01-08 16:04,1,51.3387237,-0.1565787,TRUE,FALSE,FALSE,S125701563,NA,2023-01-08
eurrob1,European Robin,Erithacus rubecula,L12106757,Horsenden Hill,2023-01-09 16:49,NA,51.5460308,-0.3240521,TRUE,FALSE,FALSE,S125785911,NA,2023-01-09
eurrob1,European Robin,Erithacus rubecula,L4460328,"Acton Park (Acton, London)",2023-01-10 15:21,1,51.5076726,-0.2598873,TRUE,FALSE,FALSE,S125849732,NA,2023-01-10
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2023-01-11 15:47,5,51.4774486,-0.235101,TRUE,FALSE,FALSE,S125927456,NA,2023-01-11
eurrob1,European Robin,Erithacus rubecula,L13005141,Thames Chase Forest Centre and Community Forest,2023-01-12 16:34,4,51.5517879,0.2833737,TRUE,FALSE,FALSE,S125995859,NA,2023-01-12
eurrob1,European Robin,Erithacus rubecula,L4340884,Barnes Common,2023-01-13 16:55,1,51.4665073,-0.24414,TRUE,FALSE,FALSE,S126065723,NA,2023-01-13
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2023-01-14 15:55,4,51.594753,-0.140426,TRUE,FALSE,TRUE,S126119315,NA,2023-01-14
eurrob1,European Robin,Erithacus rubecula,L2958232,Heathrow Airport,2023-01-15 17:30,1,51.4713861,-0.4568768,TRUE,FALSE,FALSE,S126285751,NA,2023-01-15
eurrob1,European Robin,Erithacus rubecula,L1800098,Battersea Park,2023-01-16 16:10,2,51.4802877,-0.1552555,TRUE,FALSE,FALSE,S126305703,NA,2023-01-16
eurrob1,European Robin,Erithacus rubecula,L13859411,Bridge Road,2023-01-17 16:24,1,51.3617908,-0.1482997,TRUE,FALSE,TRUE,S126364463,NA,2023-01-17
eurrob1,European Robin,Erithacus rubecula,L9030101,Camley Street Natural Park,2023-01-18 16:43,1,51.5351266,-0.127511,TRUE,FALSE,FALSE,S126459315,NA,2023-01-18
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2023-01-19 16:12,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S126492754,NA,2023-01-19
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2023-01-20 16:04,1,51.594753,-0.140426,TRUE,FALSE,TRUE,S126576031,NA,2023-01-20
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2023-01-21 16:30,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S126622965,NA,2023-01-21
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2023-01-22 16:05,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S126749654,NA,2023-01-22
eurrob1,European Robin,Erithacus rubecula,L4026088,Crystal Palace Park,2023-01-23 18:21,1,51.4216077,-0.0699413,TRUE,FALSE,FALSE,S126797474,NA,2023-01-23
eurrob1,European Robin,Erithacus rubecula,L11546794,Beddington Park,2023-01-24 16:52,4,51.3724317,-0.1435977,TRUE,FALSE,FALSE,S126851274,NA,2023-01-24
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2023-01-25 21:05,9,51.4774486,-0.235101,TRUE,FALSE,FALSE,S127031036,NA,2023-01-25
eurrob1,European Robin,Erithacus rubecula,L22079254,Whittington Park,2023-01-26 23:42,1,51.5619183,-0.1283598,TRUE,FALSE,FALSE,S126990620,NA,2023-01-26
eurrob1,European Robin,Erithacus rubecula,L22079254,Whittington Park,2023-01-27 23:56,1,51.5619183,-0.1283598,TRUE,FALSE,FALSE,S127053995,NA,2023-01-27
eurrob1,European Robin,Erithacus rubecula,L12107058,Canary Wharf (LBC District),2023-01-28 17:32,1,51.5044622,-0.0229463,TRUE,FALSE,FALSE,S127109394,NA,2023-01-28
eurrob1,European Robin,Erithacus rubecula,L3670831,Hampstead Heath,2023-01-29 16:54,10,51.5618116,-0.1633787,TRUE,FALSE,FALSE,S127195876,NA,2023-01-29
eurrob1,European Robin,Erithacus rubecula,L21797678,Salmons Brook Path,2023-01-30 17:21,1,51.6221633,-0.0541898,TRUE,FALSE,TRUE,S127271361,NA,2023-01-30
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2023-01-31 16:20,1,51.594753,-0.140426,TRUE,FALSE,TRUE,S127346064,NA,2023-01-31
eurrob1,European Robin,Erithacus rubecula,L12487630,Garden,2023-02-01 16:47,2,51.3525259,-0.144565,TRUE,FALSE,TRUE,S127393884,NA,2023-02-01
eurrob1,European Robin,Erithacus rubecula,L11546794,Beddington Park,2023-02-02 16:22,4,51.3724317,-0.1435977,TRUE,FALSE,FALSE,S127451063,NA,2023-02-02
eurrob1,European Robin,Erithacus rubecula,L11018105,"43 Belgrave Road, England, GB (51.565, 0.022)",2023-02-03 21:30,NA,51.5651131,0.0219001,TRUE,FALSE,TRUE,S127569392,NA,2023-02-03
eurrob1,European Robin,Erithacus rubecula,L10418568,St. James Park,2023-02-04 23:35,2,51.5027242,-0.1335687,TRUE,FALSE,TRUE,S135377612,NA,2023-02-04
eurrob1,European Robin,Erithacus rubecula,L3278538,Victoria Park (South Hackney),2023-02-05 16:54,3,51.5357653,-0.0402546,TRUE,FALSE,FALSE,S127673948,NA,2023-02-05
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2023-02-06 16:56,3,51.594753,-0.140426,TRUE,FALSE,TRUE,S127763467,NA,2023-02-06
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2023-02-07 16:54,4,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S127834049,NA,2023-02-07
eurrob1,European Robin,Erithacus rubecula,L11018105,"43 Belgrave Road, England, GB (51.565, 0.022)",2023-02-08 22:00,NA,51.5651131,0.0219001,TRUE,FALSE,TRUE,S127923054,NA,2023-02-08
eurrob1,European Robin,Erithacus rubecula,L12230276,Morden Park (London),2023-02-09 16:30,NA,51.3940545,-0.2095861,TRUE,FALSE,FALSE,S127943122,NA,2023-02-09
eurrob1,European Robin,Erithacus rubecula,L12539616,Belmont--California Court Grounds,2023-02-10 15:59,2,51.34362,-0.196755,TRUE,FALSE,TRUE,S128011833,NA,2023-02-10
