speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L958247,Walthamstow Wetlands--Lockwood and Maynard Reservoirs,2018-01-01 15:04,1,51.5922584,-0.0469923,TRUE,FALSE,FALSE,S41500333,NA,2018-01-01
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2018-01-02 15:25,2,51.5316,-0.1559,TRUE,FALSE,FALSE,S41553657,NA,2018-01-02
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2018-01-03 13:10,2,51.4774486,-0.235101,TRUE,FALSE,FALSE,S41578881,NA,2018-01-03
eurrob1,European Robin,Erithacus rubecula,L3355039,Victoria Tower Gardens,2018-01-04 12:45,1,51.4970418,-0.124712,TRUE,FALSE,FALSE,S41609605,NA,2018-01-04
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2018-01-05 13:42,5,51.4774486,-0.235101,TRUE,FALSE,FALSE,S41646115,NA,2018-01-05
eurrob1,European Robin,Erithacus rubecula,L4152791,Morden Hall Park,2018-01-06 15:30,NA,51.4026835,-0.1851904,TRUE,FALSE,FALSE,S41674813,NA,2018-01-06
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2018-01-07 15:17,3,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S41724388,NA,2018-01-07
eurrob1,European Robin,Erithacus rubecula,L6688564,Wanstead Park,2018-01-08 13:15,2,51.567628,0.042354,TRUE,FALSE,TRUE,S41744624,NA,2018-01-08
eurrob1,European Robin,Erithacus rubecula,L6700768,Covent Garden:  St Paul's Churchyard,2018-01-09 13:50,1,51.5113283,-0.1242714,TRUE,FALSE,TRUE,S41813048,NA,2018-01-09
eurrob1,European Robin,Erithacus rubecula,L6696869,St Ann’s Hospital,2018-01-10 15:29,5,51.580366,-0.09036,TRUE,FALSE,TRUE,S41791578,NA,2018-01-10
eurrob1,European Robin,Erithacus rubecula,L6283252,Wood Green--Cumberland Road,2018-01-11 15:34,1,51.597234,-0.112739,TRUE,FALSE,TRUE,S41822101,NA,2018-01-11
eurrob1,European Robin,Erithacus rubecula,L2410176,Green Park,2018-01-12 09:43,NA,51.5036913,-0.1437128,TRUE,FALSE,FALSE,S41836346,NA,2018-01-12
eurrob1,European Robin,Erithacus rubecula,L5465777,Greenwich Peninsula Ecology Park,2018-01-13 12:49,4,51.4950031,0.0159806,TRUE,FALSE,FALSE,S41902404,NA,2018-01-13
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2018-01-14 15:15,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S41907780,NA,2018-01-14
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2018-01-15 12:47,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S41976117,NA,2018-01-15
eurrob1,European Robin,Erithacus rubecula,L6727070,"Mudlarks Boulevard, London GB-England (51.4959,0.0158)",2018-01-16 16:28,2,51.495941,0.015773,TRUE,FALSE,TRUE,S41961795,NA,2018-01-16
eurrob1,European Robin,Erithacus rubecula,L4541414,Hounslow Heath LNR,2018-01-17 15:00,6,51.4569164,-0.3868604,TRUE,FALSE,FALSE,S41991984,NA,2018-01-17
