speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L11546794,Beddington Park,2021-01-01 16:23,1,51.3724317,-0.1435977,TRUE,FALSE,FALSE,S78386223,NA,2021-01-01
eurrob1,European Robin,Erithacus rubecula,L12939376,Hercies Road,2021-01-02 16:22,3,51.5503067,-0.4576139,TRUE,FALSE,TRUE,S78496204,NA,2021-01-02
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2021-01-03 16:05,2,51.594753,-0.140426,TRUE,FALSE,TRUE,S78572660,NA,2021-01-03
eurrob1,European Robin,Erithacus rubecula,L5266959,Chiswick House and Gardens,2021-01-04 14:59,NA,51.4837882,-0.2586079,TRUE,FALSE,FALSE,S78650224,NA,2021-01-04
eurrob1,European Robin,Erithacus rubecula,L5441874,Grovelands Park,2021-01-05 13:43,3,51.6320569,-0.1142728,TRUE,FALSE,FALSE,S78708498,NA,2021-01-05
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2021-01-06 16:23,3,51.594753,-0.140426,TRUE,FALSE,TRUE,S78782623,NA,2021-01-06
eurrob1,European Robin,Erithacus rubecula,L2575016,Tooting Common,2021-01-07 15:30,3,51.4334106,-0.1450324,TRUE,FALSE,FALSE,S78861012,NA,2021-01-07
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2021-01-08 15:13,NA,51.5316,-0.1559,TRUE,FALSE,FALSE,S78871317,NA,2021-01-08
eurrob1,European Robin,Erithacus rubecula,L8841233,Totteridge Valley,2021-01-09 15:43,NA,51.6238838,-0.2144513,TRUE,FALSE,FALSE,S78936664,NA,2021-01-09
eurrob1,European Robin,Erithacus rubecula,L1349703,Hackney Marsh,2021-01-10 17:49,4,51.5578303,-0.0306505,TRUE,FALSE,FALSE,S79015469,NA,2021-01-10
eurrob1,European Robin,Erithacus rubecula,L10687680,Muswell Hill--N (general area),2021-01-11 16:30,5,51.600945,-0.147967,TRUE,FALSE,TRUE,S79098969,NA,2021-01-11
eurrob1,European Robin,Erithacus rubecula,L4828722,Wimbledon Common,2021-01-12 14:49,NA,51.4358773,-0.2335668,TRUE,FALSE,FALSE,S79130445,NA,2021-01-12
eurrob1,European Robin,Erithacus rubecula,L2575016,Tooting Common,2021-01-13 14:15,2,51.4334106,-0.1450324,TRUE,FALSE,FALSE,S79170185,NA,2021-01-13
eurrob1,European Robin,Erithacus rubecula,L12105937,Kingston University--Knights Park Campus,2021-01-14 15:44,3,51.4051612,-0.2993012,TRUE,FALSE,FALSE,S79222814,NA,2021-01-14
eurrob1,European Robin,Erithacus rubecula,L12913750,Walpole Park (Ealing),2021-01-15 15:47,2,51.509297,-0.309827,TRUE,FALSE,FALSE,S79273472,NA,2021-01-15
