speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L1973820,Wormwood Scrubs LNR,2015-01-01 11:55,7,51.5219888,-0.2379227,TRUE,FALSE,FALSE,S102031615,NA,2015-01-01
eurrob1,European Robin,Erithacus rubecula,L2038511,Bushy Park,2015-01-02 23:00,1,51.4165522,-0.3343964,TRUE,FALSE,FALSE,S23376694,NA,2015-01-02
eurrob1,European Robin,Erithacus rubecula,L3368523,"Church Lane, Chessington",2015-01-03 09:45,1,51.3629034,-0.295558,TRUE,FALSE,TRUE,S21826814,NA,2015-01-03
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2015-01-04 10:23,2,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S102145533,NA,2015-01-04
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2015-01-05 12:05,NA,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S93350316,NA,2015-01-05
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2015-01-06 10:00,50,51.4966805,0.2115243,TRUE,FALSE,FALSE,S58669893,NA,2015-01-06
eurrob1,European Robin,Erithacus rubecula,L1036218,Rainham Ferry Lane area,2015-01-07 14:35,1,51.4993127,0.182519,TRUE,FALSE,TRUE,S21239622,NA,2015-01-07
eurrob1,European Robin,Erithacus rubecula,L2083779,Walthamstow Wetlands,2015-01-09 14:34,2,51.5856349,-0.0539798,TRUE,FALSE,FALSE,S21263542,NA,2015-01-09
eurrob1,European Robin,Erithacus rubecula,L4152791,Morden Hall Park,2015-01-10 07:00,NA,51.4026835,-0.1851904,TRUE,FALSE,FALSE,S74074822,NA,2015-01-10
eurrob1,European Robin,Erithacus rubecula,L958247,Walthamstow Wetlands--Lockwood and Maynard Reservoirs,2015-01-11 14:00,3,51.5922584,-0.0469923,TRUE,FALSE,FALSE,S21297404,NA,2015-01-11
eurrob1,European Robin,Erithacus rubecula,L2370965,Queen's Wood LNR,2015-01-12 11:28,NA,51.5816966,-0.1422215,TRUE,FALSE,FALSE,S21313796,NA,2015-01-12
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2015-01-13,NA,51.4774486,-0.235101,TRUE,FALSE,FALSE,S78247744,NA,2015-01-13
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2015-01-14 09:30,NA,51.4774486,-0.235101,TRUE,FALSE,FALSE,S21341126,NA,2015-01-14
eurrob1,European Robin,Erithacus rubecula,L5803024,Wanstead Flats,2015-01-15,4,51.5590742,0.0319934,TRUE,FALSE,FALSE,S119382257,NA,2015-01-15
eurrob1,European Robin,Erithacus rubecula,L2038511,Bushy Park,2015-01-17 10:55,2,51.4165522,-0.3343964,TRUE,FALSE,FALSE,S21379582,NA,2015-01-17
eurrob1,European Robin,Erithacus rubecula,L933099,Beddington Farmlands,2015-01-18 13:15,3,51.3805849,-0.1479596,TRUE,FALSE,FALSE,S77007865,NA,2015-01-18
eurrob1,European Robin,Erithacus rubecula,L933099,Beddington Farmlands,2015-01-19,NA,51.3805849,-0.1479596,TRUE,FALSE,FALSE,S98358413,NA,2015-01-19
eurrob1,European Robin,Erithacus rubecula,L1402306,Leyton Flats,2015-01-20 07:30,NA,51.5787073,0.0158131,TRUE,FALSE,FALSE,S21432053,NA,2015-01-20
eurrob1,European Robin,Erithacus rubecula,L2495227,Higham Hill Park,2015-01-21 13:00,2,51.5976809,-0.0374115,TRUE,FALSE,TRUE,S21443658,NA,2015-01-21
eurrob1,European Robin,Erithacus rubecula,L2934897,Radnor gardens,2015-01-22 08:40,2,51.4406204,-0.3316712,TRUE,FALSE,TRUE,S21489761,NA,2015-01-22
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2015-01-23 13:00,NA,51.4966805,0.2115243,TRUE,FALSE,FALSE,S100858481,NA,2015-01-23
eurrob1,European Robin,Erithacus rubecula,L3264649,Warwick Road - Ealing,2015-01-24 15:15,NA,51.506621,-0.301164,TRUE,FALSE,TRUE,S21740430,NA,2015-01-24
eurrob1,European Robin,Erithacus rubecula,L1973820,Wormwood Scrubs LNR,2015-01-25 10:45,6,51.5219888,-0.2379227,TRUE,FALSE,FALSE,S102031617,NA,2015-01-25
