speciesCode,comName,sciName,locId,locName,obsDt,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,howMany,date_requested
eurrob1,European Robin,Erithacus rubecula,L3444730,Queen Elizabeth Olympic Park,2017-08-19 07:08,51.5442266,-0.0162435,TRUE,FALSE,FALSE,S38710001,NA,14,2017-08-19
eurrob1,European Robin,Erithacus rubecula,L6198710,"30 The Queen's Walk, London, England, GB (51.505, -0.12)",2017-08-20 19:30,51.5045483,-0.1195269,TRUE,FALSE,TRUE,S38734469,NA,1,2017-08-20
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-08-21 18:16,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S38751523,NA,4,2017-08-21
eurrob1,European Robin,Erithacus rubecula,L3670831,Hampstead Heath,2017-08-22 18:30,51.5618116,-0.1633787,TRUE,FALSE,FALSE,S38785934,NA,NA,2017-08-22
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-08-23 17:21,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S38909608,NA,2,2017-08-23
eurrob1,European Robin,Erithacus rubecula,L1344841,Brent Reservoir,2017-08-24 18:00,51.5705173,-0.2462203,TRUE,FALSE,FALSE,S38978492,NA,NA,2017-08-24
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-08-25,51.5316,-0.1559,TRUE,FALSE,FALSE,S66331328,NA,NA,2017-08-25
eurrob1,European Robin,Erithacus rubecula,L1800098,Battersea Park,2017-08-26 17:45,51.4802877,-0.1552555,TRUE,FALSE,FALSE,S75476501,NA,1,2017-08-26
eurrob1,European Robin,Erithacus rubecula,L2082952,Wandsworth Common,2017-08-27 18:05,51.4485511,-0.1673698,TRUE,FALSE,FALSE,S75411073,NA,2,2017-08-27
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-08-28,51.5316,-0.1559,TRUE,FALSE,FALSE,S66335128,NA,NA,2017-08-28
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-08-29 16:15,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S38901279,NA,4,2017-08-29
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-08-31 18:02,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S39124099,NA,2,2017-08-31
eurrob1,European Robin,Erithacus rubecula,L6232256,"1–2 Totteridge Green, London GB-England (51.6253,-0.1945)",2017-09-01 09:06,51.625326,-0.194513,TRUE,FALSE,TRUE,S38933751,NA,2,2017-09-01
eurrob1,European Robin,Erithacus rubecula,L1344841,Brent Reservoir,2017-09-02 14:00,51.5705173,-0.2462203,TRUE,FALSE,FALSE,S38978387,NA,NA,2017-09-02
eurrob1,European Robin,Erithacus rubecula,L3444730,Queen Elizabeth Olympic Park,2017-09-03 07:00,51.5442266,-0.0162435,TRUE,FALSE,FALSE,S38998224,NA,NA,2017-09-03
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-09-04 16:30,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75596916,NA,2,2017-09-04
eurrob1,European Robin,Erithacus rubecula,L6245560,"3 Turnberry Quay, London GB-England (51.4962,-0.0164)",2017-09-05 18:10,51.496196,-0.016357,TRUE,FALSE,TRUE,S39018541,NA,2,2017-09-05
eurrob1,European Robin,Erithacus rubecula,L2082952,Wandsworth Common,2017-09-07 09:30,51.4485511,-0.1673698,TRUE,FALSE,FALSE,S39083368,NA,1,2017-09-07
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-09-08 11:20,51.4774486,-0.235101,TRUE,FALSE,FALSE,S39064294,NA,8,2017-09-08
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-09-09 13:00,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75598192,NA,1,2017-09-09
eurrob1,European Robin,Erithacus rubecula,L6258230,"41 Epworth Road, Isleworth GB-England (51.4798,-0.3214)",2017-09-10 11:44,51.479782,-0.321368,TRUE,FALSE,TRUE,S39101854,NA,1,2017-09-10
eurrob1,European Robin,Erithacus rubecula,L6262371,"5 Heathfield Rd, Wandsworth, London",2017-09-11 15:45,51.4487517,-0.1747835,TRUE,FALSE,TRUE,S39127940,NA,1,2017-09-11
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2017-09-12 10:25,51.4966805,0.2115243,TRUE,FALSE,FALSE,S39156888,NA,1,2017-09-12
eurrob1,European Robin,Erithacus rubecula,L6274902,"1–4 Cudham Lane South, Sevenoaks GB-England (51.3178,0.0736)",2017-09-15 17:18,51.317818,0.073581,TRUE,FALSE,TRUE,S39217955,NA,1,2017-09-15
eurrob1,European Robin,Erithacus rubecula,L6274902,"1–4 Cudham Lane South, Sevenoaks GB-England (51.3178,0.0736)",2017-09-16 16:14,51.317818,0.073581,TRUE,FALSE,TRUE,S39227676,NA,2,2017-09-16
eurrob1,European Robin,Erithacus rubecula,L4509924,Muswell Hill--Pembroke Mews,2017-09-17 18:33,51.602614,-0.145284,TRUE,FALSE,TRUE,S39234124,NA,1,2017-09-17
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-09-18 15:29,51.5316,-0.1559,TRUE,FALSE,FALSE,S78452740,NA,2,2017-09-18
eurrob1,European Robin,Erithacus rubecula,L6275921,"NW7, London GB-England (51.6262,-0.2125)",2017-09-19 14:36,51.626198,-0.212499,TRUE,FALSE,TRUE,S39275244,NA,4,2017-09-19
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-09-20 17:30,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75600706,NA,1,2017-09-20
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-09-21 18:15,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75602009,NA,1,2017-09-21
