speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L8308224,Morden Hall Park,2020-01-01 15:54,2,51.4054514,-0.1906662,TRUE,FALSE,TRUE,S62850027,NA,2020-01-01
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2020-01-02 15:28,2,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S63140265,NA,2020-01-02
eurrob1,European Robin,Erithacus rubecula,L9128669,Emirates Stadium,2020-01-03 16:26,1,51.5553706,-0.1085671,TRUE,FALSE,FALSE,S62956256,NA,2020-01-03
eurrob1,European Robin,Erithacus rubecula,L8986546,"Priory Park, London GB",2020-01-04 16:08,5,51.58511,-0.124789,TRUE,FALSE,TRUE,S62998111,NA,2020-01-04
eurrob1,European Robin,Erithacus rubecula,L9126499,"4 Cameron Road, Bromley GB-England (51.3960,0.0140)",2020-01-05 23:35,4,51.395971,0.01403,TRUE,FALSE,TRUE,S63334415,NA,2020-01-05
eurrob1,European Robin,Erithacus rubecula,L8919394,Brunswick Square Gardens,2020-01-06 18:47,1,51.5244248,-0.1217194,TRUE,FALSE,FALSE,S63099125,NA,2020-01-06
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2020-01-07 16:23,2,51.594753,-0.140426,TRUE,FALSE,TRUE,S63133086,NA,2020-01-07
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2020-01-08 16:23,3,51.594753,-0.140426,TRUE,FALSE,TRUE,S63216167,NA,2020-01-08
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2020-01-09 16:13,3,51.594753,-0.140426,TRUE,FALSE,TRUE,S63216149,NA,2020-01-09
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-10 15:39,1,51.425735,-0.380429,TRUE,FALSE,TRUE,S63234267,NA,2020-01-10
eurrob1,European Robin,Erithacus rubecula,L2575016,Tooting Common,2020-01-11 22:24,1,51.4334106,-0.1450324,TRUE,FALSE,FALSE,S63288114,NA,2020-01-11
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-12 15:54,1,51.425735,-0.380429,TRUE,FALSE,TRUE,S63312711,NA,2020-01-12
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-13 15:45,1,51.425735,-0.380429,TRUE,FALSE,TRUE,S63354106,NA,2020-01-13
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2020-01-14 16:16,2,51.594753,-0.140426,TRUE,FALSE,TRUE,S63402273,NA,2020-01-14
eurrob1,European Robin,Erithacus rubecula,L8986546,"Priory Park, London GB",2020-01-15 16:55,1,51.58511,-0.124789,TRUE,FALSE,TRUE,S63418777,NA,2020-01-15
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-16 15:43,1,51.425735,-0.380429,TRUE,FALSE,TRUE,S63447512,NA,2020-01-16
eurrob1,European Robin,Erithacus rubecula,L1349703,Hackney Marsh,2020-01-17 16:00,1,51.5578303,-0.0306505,TRUE,FALSE,FALSE,S63481031,NA,2020-01-17
eurrob1,European Robin,Erithacus rubecula,L4509924,Muswell Hill--Pembroke Mews,2020-01-18 15:57,2,51.602614,-0.145284,TRUE,FALSE,TRUE,S63517955,NA,2020-01-18
eurrob1,European Robin,Erithacus rubecula,L5052637,Bounds Green,2020-01-19 17:10,1,51.606836,-0.124281,TRUE,FALSE,TRUE,S63551575,NA,2020-01-19
eurrob1,European Robin,Erithacus rubecula,L4210937,Muswell Hill--garden,2020-01-20 16:45,1,51.595709,-0.1394567,TRUE,FALSE,TRUE,S63592043,NA,2020-01-20
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2020-01-21 16:20,2,51.594753,-0.140426,TRUE,FALSE,TRUE,S63643676,NA,2020-01-21
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2020-01-22 16:30,4,51.5316,-0.1559,TRUE,FALSE,FALSE,S63666946,NA,2020-01-22
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-23 15:42,1,51.425735,-0.380429,TRUE,FALSE,TRUE,S63696883,NA,2020-01-23
eurrob1,European Robin,Erithacus rubecula,L10436944,Homewood Close🦉🦆🦢,2020-01-24 15:48,2,51.425735,-0.380429,TRUE,FALSE,TRUE,S63728113,NA,2020-01-24
eurrob1,European Robin,Erithacus rubecula,L6777081,Gillespie Park LNR,2020-01-25 16:37,2,51.5596612,-0.1054688,TRUE,FALSE,FALSE,S63761137,NA,2020-01-25
eurrob1,European Robin,Erithacus rubecula,L4148152,South Norwood Country Park and LNR,2020-01-26 16:00,3,51.3980845,-0.0552666,TRUE,FALSE,FALSE,S63800014,NA,2020-01-26
