speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L10809494,West Sutton,2014-01-01 10:00,1,51.3671692,-0.2102456,TRUE,FALSE,TRUE,S64848435,NA,2014-01-01
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2014-01-02 12:05,NA,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S93349838,NA,2014-01-02
eurrob1,European Robin,Erithacus rubecula,L3681809,Ingrebourne Valley LNR and Hornchurch Country Park,2014-01-04,NA,51.5370528,0.2097703,TRUE,FALSE,FALSE,S78551345,NA,2014-01-04
eurrob1,European Robin,Erithacus rubecula,L2508196,"St Pancras, Camley St Nature Park area",2014-01-05 12:20,5,51.5354983,-0.1279601,TRUE,FALSE,TRUE,S16234198,NA,2014-01-05
eurrob1,European Robin,Erithacus rubecula,L1973820,Wormwood Scrubs LNR,2014-01-06 13:10,14,51.5219888,-0.2379227,TRUE,FALSE,FALSE,S102101255,NA,2014-01-06
eurrob1,European Robin,Erithacus rubecula,L2575007,Bunhill Fields,2014-01-07 14:17,1,51.52368,-0.08811,TRUE,FALSE,TRUE,S16458372,NA,2014-01-07
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2014-01-08 13:15,10,51.4774486,-0.235101,TRUE,FALSE,FALSE,S16296149,NA,2014-01-08
eurrob1,European Robin,Erithacus rubecula,L1402306,Leyton Flats,2014-01-10 07:30,NA,51.5787073,0.0158131,TRUE,FALSE,FALSE,S16320094,NA,2014-01-10
eurrob1,European Robin,Erithacus rubecula,L1121640,Bow Creek and East India Dock basin,2014-01-11 09:45,3,51.5094369,0.0027466,TRUE,FALSE,TRUE,S16330973,NA,2014-01-11
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2014-01-12 12:20,6,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S16358223,NA,2014-01-12
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2014-01-13 12:15,6,51.4774486,-0.235101,TRUE,FALSE,FALSE,S16360556,NA,2014-01-13
eurrob1,European Robin,Erithacus rubecula,L1589636,White City,2014-01-14,1,51.5131147,-0.2266581,TRUE,FALSE,TRUE,S20642982,NA,2014-01-14
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2014-01-15,NA,51.4774486,-0.235101,TRUE,FALSE,FALSE,S78247772,NA,2014-01-15
eurrob1,European Robin,Erithacus rubecula,L2531058,Heathpark Golf Course,2014-01-16 09:30,3,51.5004081,-0.4526711,TRUE,FALSE,TRUE,S16389182,NA,2014-01-16
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2014-01-17 10:30,1,51.4774486,-0.235101,TRUE,FALSE,FALSE,S16431927,NA,2014-01-17
eurrob1,European Robin,Erithacus rubecula,L2386746,Wimbledon Common,2014-01-18 12:10,5,51.4361128,-0.233202,TRUE,FALSE,TRUE,S16412907,NA,2014-01-18
