speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L3444730,Queen Elizabeth Olympic Park,2016-01-01 15:10,1,51.5442266,-0.0162435,TRUE,FALSE,FALSE,S26577720,NA,2016-01-01
eurrob1,European Robin,Erithacus rubecula,L2038511,Bushy Park,2016-01-02 10:35,1,51.4165522,-0.3343964,TRUE,FALSE,FALSE,S26606947,NA,2016-01-02
eurrob1,European Robin,Erithacus rubecula,L4167483,"Glenmore, Putney Hill",2016-01-03 14:30,4,51.4528336,-0.2183264,TRUE,FALSE,TRUE,S26951410,NA,2016-01-03
eurrob1,European Robin,Erithacus rubecula,L3355039,Victoria Tower Gardens,2016-01-04 12:50,1,51.4970418,-0.124712,TRUE,FALSE,FALSE,S26666321,NA,2016-01-04
eurrob1,European Robin,Erithacus rubecula,L3020442,Osterley Park and House,2016-01-05 12:30,12,51.4900949,-0.3486657,TRUE,FALSE,FALSE,S26693408,NA,2016-01-05
eurrob1,European Robin,Erithacus rubecula,L1036218,Rainham Ferry Lane area,2016-01-06 13:35,2,51.4993127,0.182519,TRUE,FALSE,TRUE,S26734354,NA,2016-01-06
eurrob1,European Robin,Erithacus rubecula,L3132445,Waterways Business Park,2016-01-07 11:15,2,51.6662438,-0.0190517,TRUE,FALSE,TRUE,S26752625,NA,2016-01-07
eurrob1,European Robin,Erithacus rubecula,L1036218,Rainham Ferry Lane area,2016-01-08 13:25,7,51.4993127,0.182519,TRUE,FALSE,TRUE,S26772101,NA,2016-01-08
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2016-01-09 15:00,2,51.4966805,0.2115243,TRUE,FALSE,FALSE,S26824039,NA,2016-01-09
eurrob1,European Robin,Erithacus rubecula,L3444730,Queen Elizabeth Olympic Park,2016-01-10 14:40,4,51.5442266,-0.0162435,TRUE,FALSE,FALSE,S26814848,NA,2016-01-10
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2016-01-11 12:15,NA,51.5316,-0.1559,TRUE,FALSE,FALSE,S26837185,NA,2016-01-11
eurrob1,European Robin,Erithacus rubecula,L1006681,Richmond Park (London),2016-01-12 10:40,1,51.4471069,-0.2717829,TRUE,FALSE,FALSE,S26854352,NA,2016-01-12
eurrob1,European Robin,Erithacus rubecula,L2934893,Bonser Road,2016-01-13 09:40,2,51.4405936,-0.3337955,TRUE,FALSE,TRUE,S26871410,NA,2016-01-13
eurrob1,European Robin,Erithacus rubecula,L4167483,"Glenmore, Putney Hill",2016-01-14 15:35,3,51.4528336,-0.2183264,TRUE,FALSE,TRUE,S26951833,NA,2016-01-14
eurrob1,European Robin,Erithacus rubecula,L1800098,Battersea Park,2016-01-15 12:35,7,51.4802877,-0.1552555,TRUE,FALSE,FALSE,S26906460,NA,2016-01-15
