speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,date_requested
eurrob1,European Robin,Erithacus rubecula,L36410194,Longford River,2024-09-07 19:12,5,51.4567542,-0.4389452,TRUE,FALSE,TRUE,S194302238,NA,2024-09-07
eurrob1,European Robin,Erithacus rubecula,L15285888,Courtyard by Marriott London Heathrow,2024-03-31 20:38,1,51.4812309,-0.4325639,TRUE,FALSE,FALSE,S166695664,NA,2024-03-31
eurrob1,European Robin,Erithacus rubecula,L32255580,"113 Argyle Avenue, England, GB (51.458, -0.368)",2024-05-24 20:03,1,51.4577807,-0.3678815,TRUE,FALSE,TRUE,S176799222,NA,2024-05-24
eurrob1,European Robin,Erithacus rubecula,L32593174,"134 High Street, England, GB (51.418, -0.358)",2024-05-30 21:35,NA,51.4184836,-0.3576559,TRUE,FALSE,TRUE,S178256742,NA,2024-05-30
eurrob1,European Robin,Erithacus rubecula,L28648809,Grand Union Canal - Three Bridges,2024-01-05 16:00,6,51.5044431,-0.35545,TRUE,FALSE,TRUE,S158146710,NA,2024-01-05
eurrob1,European Robin,Erithacus rubecula,L12105853,Grand Union Canal--Hanwell Locks,2024-02-25 17:05,2,51.5055127,-0.3503884,TRUE,FALSE,FALSE,S162886554,NA,2024-02-25
eurrob1,European Robin,Erithacus rubecula,L8051135,Brent Lodge Park,2024-07-27 20:03,1,51.5127422,-0.3495991,TRUE,FALSE,FALSE,S189130107,NA,2024-07-27
eurrob1,European Robin,Erithacus rubecula,L26028275,"Greater London, England, GB",2024-03-25 18:43,1,51.4896781,-0.3489148,TRUE,FALSE,TRUE,S165963032,NA,2024-03-25
eurrob1,European Robin,Erithacus rubecula,L3020442,Osterley Park and House,2024-04-22 19:49,21,51.4900949,-0.3486657,TRUE,FALSE,FALSE,S169838767,NA,2024-04-22
eurrob1,European Robin,Erithacus rubecula,L10476140,Warren Farm NR,2024-01-03 16:13,5,51.5015102,-0.3476589,TRUE,FALSE,FALSE,S157946889,NA,2024-01-03
eurrob1,European Robin,Erithacus rubecula,L10476140,Warren Farm NR,2024-12-26 16:04,11,51.5015102,-0.3476589,TRUE,FALSE,FALSE,S206636427,NA,2024-12-26
eurrob1,European Robin,Erithacus rubecula,L12105851,Grand Union Canal--Brent Junction,2024-12-20 20:11,1,51.5031312,-0.342919,TRUE,FALSE,FALSE,S206018075,NA,2024-12-20
eurrob1,European Robin,Erithacus rubecula,L20612546,Warren Farm,2024-01-30 22:20,2,51.496252,-0.340001,TRUE,FALSE,TRUE,S160889373,NA,2024-01-30
